question_id,question_text,keypoint_id,keypoint_name
1,OCRSystems are designing a new CPU for a computer system that will be used for video rendering. Part of the video rendering process is when the video is exported. This is when the computer combines all of the separate video elements together to form the final video.,392,"CPU components: ALU, Control Unit, Registers."
1,OCRSystems are designing a new CPU for a computer system that will be used for video rendering. Part of the video rendering process is when the video is exported. This is when the computer combines all of the separate video elements together to form the final video.,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
2,Describe two factors that affect the performance of the CPU. 1 ................................................................................................................................................ 2 ................................................................................................................................................ [4],394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
3,An important design consideration is whether OCRSystems use a CISC processor type or a RISC processor type. Describe one difference between a CISC processor and a RISC processor. .............................................................................................................................................. [2],396,"Processor types: CISC, RISC, GPU."
4,OCRSystems are considering using parallel processing in the computer system that will be used for video rendering. Describe how parallel processing would increase the performance of this computer system. .............................................................................................................................................. [3],394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
5,The computer system will contain several input and output devices. Explain the role of device drivers when using input and output devices on a computer system. .............................................................................................................................................. [2],399,Operating principles and applications.
5,The computer system will contain several input and output devices. Explain the role of device drivers when using input and output devices on a computer system. .............................................................................................................................................. [2],401,Functions and characteristics.
6,"Before a video is rendered, the user will first capture and edit the individual video elements before they are combined together to form the final video.",402,"Types of storage: Primary (RAM, ROM), Secondary (HDD, SSD, optical disks)."
6,"Before a video is rendered, the user will first capture and edit the individual video elements before they are combined together to form the final video.",403,"Advantages, disadvantages, and applications."
7,(i) State two different output devices that could be used when editing the videos. 1 ........................................................................................................................................ 2 ........................................................................................................................................,400,"Common output devices: monitors, printers, speakers."
8,(ii) * A storage device is used to store the individual video elements while they are being captured in different locations and during the video editing process. Discuss the suitability of a flash storage device and a magnetic storage device for storing the different video elements while they are being collected and edited. You should refer to the following in your answer: • the benefits of each type of storage • the drawbacks of each type of storage • the suitability of each type of storage. ......................................................................................................................................,402,"Types of storage: Primary (RAM, ROM), Secondary (HDD, SSD, optical disks)."
8,(ii) * A storage device is used to store the individual video elements while they are being captured in different locations and during the video editing process. Discuss the suitability of a flash storage device and a magnetic storage device for storing the different video elements while they are being collected and edited. You should refer to the following in your answer: • the benefits of each type of storage • the drawbacks of each type of storage • the suitability of each type of storage. ......................................................................................................................................,403,"Advantages, disadvantages, and applications."
9,A programmer uses a queue data structure to store data.,448,FIFO characteristics and operations (enqueue/dequeue).
9,A programmer uses a queue data structure to store data.,449,"Characteristics, advantages, and basic operations of linked lists."
10,,392,"CPU components: ALU, Control Unit, Registers."
10,,393,Roles of each component in instruction execution.
10,,394,"Factors affecting CPU performance: clock speed, number of cores, cache size."
10,,395,"Performance metrics: MIPS, FLOPS."
10,,396,"Processor types: CISC, RISC, GPU."
10,,397,Features and applications of each type.
11,(i) Tick one box that describes how a queue operates. Last In First Out First In First Out,448,FIFO characteristics and operations (enqueue/dequeue).
12,"(ii) The figure below shows a queue data structure that contains a list of names. Alex is at the front of the queue. Alex Kofi Ben Sundip Tom The operations that can be used on the queue are: • enqueue() – This will add data that is passed in as a parameter to the queue. • dequeue() – This will return the first element in the queue. Show the contents of the queue after these operations have been performed: enqueue(""Charlie"") dequeue() enqueue(""Ling"") dequeue() enqueue(""Sara"")",448,FIFO characteristics and operations (enqueue/dequeue).
13,"A stack is another type of data structure. A stack is implemented using these variables: • items – This is used to store an array that contains the data. • top – This is an integer value pointing to the last item of data that was inserted. pop() is one operation that can be performed on a stack. This will remove an item from the top of the stack, or –1 if the stack is empty.",446,Section 7: Data Structures
13,"A stack is another type of data structure. A stack is implemented using these variables: • items – This is used to store an array that contains the data. • top – This is an integer value pointing to the last item of data that was inserted. pop() is one operation that can be performed on a stack. This will remove an item from the top of the stack, or –1 if the stack is empty.",447,Definitions and use cases of data structures.
13,"A stack is another type of data structure. A stack is implemented using these variables: • items – This is used to store an array that contains the data. • top – This is an integer value pointing to the last item of data that was inserted. pop() is one operation that can be performed on a stack. This will remove an item from the top of the stack, or –1 if the stack is empty.",450,LIFO characteristics and operations (push/pop).
14,(i) Complete the pseudocode function for the pop() operation.,450,LIFO characteristics and operations (push/pop).
15,"(ii) A function called reverse uses a stack called theStack to reverse data that is passed in as a parameter called name. For example, the name “Jack” would be returned as “kcaJ” by the function. theStack uses these operations which are already defined as global scope in the program: • push() – This will add data that is passed in as a parameter to the stack. • pop() – This will remove and return the item on top of the stack. Write the function reverse so that it: • accepts the name as a parameter • uses push() to add each character in the name to theStack separately • uses pop() to return each character from theStack and add it to a variable called reverseName • outputs the variable reverseName once all characters have been popped from theStack. You should write your function using pseudocode or program code. ......................................................................................................................................",450,LIFO characteristics and operations (push/pop).
15,"(ii) A function called reverse uses a stack called theStack to reverse data that is passed in as a parameter called name. For example, the name “Jack” would be returned as “kcaJ” by the function. theStack uses these operations which are already defined as global scope in the program: • push() – This will add data that is passed in as a parameter to the stack. • pop() – This will remove and return the item on top of the stack. Write the function reverse so that it: • accepts the name as a parameter • uses push() to add each character in the name to theStack separately • uses pop() to return each character from theStack and add it to a variable called reverseName • outputs the variable reverseName once all characters have been popped from theStack. You should write your function using pseudocode or program code. ......................................................................................................................................",452,Types (directed/undirected) and applications.
